Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
LHX,2011,L3Harris Technologies,USA,Defense contractors,$4.05 B,$5.98 B,$0.80 B
LHX,2012,L3Harris Technologies,USA,Defense contractors,$5.50 B,$5.10 B,$1.26 B
LHX,2013,L3Harris Technologies,USA,Defense contractors,$7.44 B,$4.97 B,$0.66 B
LHX,2014,L3Harris Technologies,USA,Defense contractors,$7.51 B,$4.95 B,$0.76 B
LHX,2015,L3Harris Technologies,USA,Defense contractors,$10.81 B,$6.37 B,$0.61 B
LHX,2016,L3Harris Technologies,USA,Defense contractors,$12.73 B,$7.26 B,$0.90 B
LHX,2017,L3Harris Technologies,USA,Defense contractors,$16.79 B,$5.97 B,$0.92 B
LHX,2018,L3Harris Technologies,USA,Defense contractors,$15.85 B,$6.44 B,$0.98 B
LHX,2019,L3Harris Technologies,USA,Defense contractors,$43.74 B,$12.85 B,$1.49 B
LHX,2020,L3Harris Technologies,USA,Defense contractors,$39.71 B,$18.19 B,$1.32 B
LHX,2021,L3Harris Technologies,USA,Defense contractors,$41.84 B,$17.81 B,$2.28 B
LHX,2022,L3Harris Technologies,USA,Defense contractors,$39.64 B,$17.06 B,$1.27 B
LHX,2023,L3Harris Technologies,USA,Defense contractors,$39.92 B,$19.41 B,$1.22 B
LMT,2001,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$20.69 B,$23.99 B,$0.88 B
LMT,2002,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$26.31 B,$26.57 B,$1.15 B
LMT,2003,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$22.98 B,$31.82 B,$2.01 B
LMT,2004,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$24.50 B,$35.52 B,$2.08 B
LMT,2005,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$27.80 B,$37.21 B,$2.79 B
LMT,2006,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$38.76 B,$39.62 B,$3.74 B
LMT,2007,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$42.95 B,$41.86 B,$4.82 B
LMT,2008,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$33.32 B,$42.73 B,$5.01 B
